time,tmax,tmin,tavg,prcp,wspd,pres,humidity
2023-05-19,34.2,21.6,27.6,0.0,19.3,1011.0,55.0
2023-05-20,33.3,21.1,26.6,0.1,14.0,1010.9,66.0
2023-05-21,31.5,21.7,24.7,7.3,13.1,1012.0,77.0
2023-05-22,31.5,20.3,24.9,1.6,11.4,1012.5,75.0
2023-05-23,32.3,19.8,25.5,1.0,11.3,1012.7,70.0
2023-05-24,31.7,21.0,25.3,6.6,14.5,1012.7,74.0
2023-05-25,31.3,20.8,25.2,1.4,18.2,1013.2,74.0
2023-05-26,31.2,20.7,25.1,0.0,15.9,1013.4,73.0
2023-05-27,31.3,20.4,25.4,0.5,12.9,1011.6,72.0
2023-05-28,32.3,21.0,26.3,0.0,11.5,1010.5,65.0
2023-05-29,32.6,21.4,26.6,1.8,13.6,1010.4,63.0
2023-05-30,30.0,21.4,24.0,36.6,16.5,1011.9,81.0
2023-05-31,30.6,21.2,24.4,20.3,9.9,1010.7,79.0
2023-06-01,30.9,20.7,25.0,3.1,10.9,1010.3,77.0
2023-06-02,30.2,20.8,25.1,0.0,18.3,1010.7,75.0
2023-06-03,31.5,20.9,25.7,0.4,16.9,1010.3,72.0
2023-06-04,30.0,21.2,25.0,0.0,18.4,1010.6,76.0
2023-06-05,30.7,20.9,25.6,0.1,16.7,1009.7,70.0
2023-06-06,31.2,21.2,26.1,0.3,19.1,1009.4,68.0
2023-06-07,31.5,21.2,26.0,0.0,16.5,1009.3,70.0
2023-06-08,31.6,20.5,25.9,0.0,17.3,1009.7,68.0
2023-06-09,31.3,20.2,24.9,5.5,20.3,1008.8,73.0
2023-06-10,30.8,20.1,24.6,0.7,25.9,1008.6,74.0
2023-06-11,30.8,20.5,24.9,0.2,23.1,1008.3,73.0
2023-06-12,30.4,20.3,24.5,13.0,19.0,1008.4,77.0
2023-06-13,30.8,20.0,24.5,1.8,19.1,1009.0,76.0
2023-06-14,30.6,19.9,24.7,1.1,21.0,1010.7,73.0
2023-06-15,31.6,19.9,25.4,0.0,17.7,1010.5,68.0
2023-06-16,32.0,20.8,26.0,0.0,19.5,1009.5,65.0
2023-06-17,31.3,19.9,25.2,0.2,17.8,1009.8,69.0
2023-06-18,30.8,21.1,24.8,1.0,22.2,1009.8,73.0
2023-06-19,28.3,20.5,24.0,2.4,18.1,1008.7,78.0
2023-06-20,26.2,21.4,22.8,18.5,14.8,1008.4,89.0
2023-06-21,29.3,20.3,23.9,13.6,12.5,1008.7,83.0
2023-06-22,29.0,20.7,23.6,3.7,17.9,1009.1,81.0
2023-06-23,28.9,20.3,23.7,0.5,18.6,1009.2,80.0
2023-06-24,28.1,20.3,23.4,3.6,23.4,1008.9,80.0
2023-06-25,29.0,19.3,23.4,0.9,19.8,1008.6,80.0
2023-06-26,28.7,20.2,23.6,0.2,22.0,1009.5,76.0
2023-06-27,28.7,19.4,23.1,2.3,23.7,1009.9,80.0
2023-06-28,28.8,19.8,23.7,2.4,23.7,1010.6,77.0
2023-06-29,28.7,19.5,23.4,9.1,27.0,1011.4,78.0
2023-06-30,29.8,20.0,24.2,1.7,24.6,1010.9,74.0
2023-07-01,29.3,19.8,24.5,0.7,19.4,1011.1,73.0
2023-07-02,28.8,20.5,23.8,4.7,22.0,1010.3,78.0
2023-07-03,28.9,20.3,23.1,8.3,23.6,1009.2,82.0
2023-07-04,26.4,19.9,22.0,14.9,26.8,1007.3,88.0
2023-07-05,26.5,20.0,21.8,12.3,31.5,1006.4,89.0
2023-07-06,25.1,19.6,21.3,15.3,26.9,1009.0,90.0
2023-07-07,26.6,19.4,22.3,4.9,28.0,1010.6,85.0
2023-07-08,26.9,19.9,22.3,1.8,24.7,1011.7,84.0
2023-07-09,27.9,20.1,22.8,4.6,20.5,1011.0,83.0
2023-07-10,26.3,19.6,22.6,4.3,18.7,1010.6,86.0
2023-07-11,26.0,19.9,22.4,0.7,18.4,1010.1,86.0
2023-07-12,27.9,19.3,22.9,1.7,17.6,1009.6,84.0
2023-07-13,25.4,19.5,21.9,6.2,21.1,1010.3,89.0
2023-07-14,27.4,19.8,22.6,2.4,22.7,1011.2,84.0
2023-07-15,28.0,19.3,23.2,0.6,23.6,1011.0,81.0
2023-07-16,27.6,19.6,23.3,1.3,18.6,1010.4,81.0
2023-07-17,27.5,19.5,23.2,2.5,23.2,1009.8,79.0
2023-07-18,27.9,20.3,23.5,0.8,31.0,1009.0,75.0
2023-07-19,26.6,20.4,22.8,1.1,32.4,1007.8,76.0
2023-07-20,27.2,20.3,23.0,1.6,39.3,1007.7,75.0
2023-07-21,27.5,20.1,23.0,2.3,34.6,1008.6,77.0
2023-07-22,25.6,20.5,22.3,8.4,31.4,1010.2,83.0
2023-07-23,26.0,20.3,22.1,9.7,31.4,1010.5,87.0
2023-07-24,25.6,19.7,21.5,12.7,30.0,1009.9,88.0
2023-07-25,23.3,19.8,21.1,13.5,25.8,1010.2,92.0
2023-07-26,23.2,19.3,20.8,19.3,25.6,1011.3,92.0
2023-07-27,27.1,19.6,22.2,2.3,28.2,1011.2,81.0
2023-07-28,28.1,18.9,22.8,1.5,29.3,1011.1,77.0
2023-07-29,27.7,19.5,22.9,1.0,28.2,1011.1,77.0
2023-07-30,27.9,18.5,23.0,0.7,26.8,1010.7,77.0
2023-07-31,28.7,19.4,23.4,1.3,23.5,1010.3,79.0
2023-08-01,28.2,19.7,23.4,0.4,27.2,1010.5,76.0
2023-08-02,27.9,19.4,23.2,0.0,29.5,1011.2,73.0
2023-08-03,27.9,19.6,23.4,1.0,28.8,1010.7,74.0
2023-08-04,28.6,19.1,23.2,1.1,26.7,1012.4,78.0
2023-08-05,28.6,19.3,23.6,1.2,23.5,1013.5,77.0
2023-08-06,28.8,19.4,24.0,0.3,17.1,1012.5,76.0
2023-08-07,29.0,19.5,23.8,0.9,18.5,1010.8,76.0
2023-08-08,28.8,19.1,23.3,0.6,17.5,1011.1,77.0
2023-08-09,29.0,19.2,23.8,1.1,15.0,1012.3,77.0
2023-08-10,28.7,19.8,23.9,0.5,13.7,1012.8,77.0
2023-08-11,28.3,20.2,24.3,0.6,15.0,1011.7,74.0
2023-08-12,29.7,20.1,24.6,0.3,18.2,1011.3,71.0
2023-08-13,29.3,19.6,24.3,0.1,15.8,1010.9,70.0
2023-08-14,29.1,20.5,24.4,0.4,15.0,1011.2,70.0
2023-08-15,29.4,19.0,24.1,0.5,14.5,1011.5,67.0
2023-08-16,30.8,19.1,24.7,0.0,15.5,1011.5,66.0
2023-08-17,30.6,20.0,24.7,0.6,20.6,1011.4,69.0
2023-08-18,30.0,19.7,24.3,1.1,23.0,1010.4,68.0
2023-08-19,28.9,19.9,22.9,7.3,25.2,1010.3,79.0
2023-08-20,30.0,19.3,24.2,0.8,19.3,1009.7,71.0
2023-08-21,30.4,19.4,24.6,0.0,15.8,1009.5,69.0
2023-08-22,30.7,20.3,24.9,0.8,12.1,1009.4,71.0
2023-08-23,30.5,20.4,25.1,0.0,11.7,1009.8,67.0
2023-08-24,30.5,20.0,24.8,0.0,13.4,1009.6,64.0
2023-08-25,30.9,19.7,24.9,0.0,13.9,1009.8,64.0
2023-08-26,30.9,19.9,24.4,3.8,16.2,1011.0,75.0
2023-08-27,30.5,20.5,25.0,0.1,11.9,1011.5,71.0
2023-08-28,31.3,20.4,25.6,0.0,15.2,1010.7,62.0
2023-08-29,31.0,20.8,25.3,0.7,16.1,1010.1,66.0
2023-08-30,31.3,19.9,24.8,12.5,15.5,1010.5,70.0
2023-08-31,28.7,19.8,23.8,8.8,10.4,1010.6,80.0
2023-09-01,30.2,19.9,24.3,9.2,13.7,1010.5,79.0
2023-09-02,29.1,20.2,23.4,11.8,19.6,1010.5,84.0
2023-09-03,28.2,19.9,23.6,0.0,15.8,1009.2,73.0
2023-09-04,26.8,20.2,22.7,1.2,26.6,1008.2,76.0
2023-09-05,25.8,19.5,22.1,1.5,20.2,1008.1,78.0
2023-09-06,28.1,20.3,23.2,1.3,19.9,1008.5,81.0
2023-09-07,28.7,20.3,23.3,4.7,19.5,1009.3,81.0
2023-09-08,28.1,20.2,23.3,2.1,23.9,1010.2,80.0
2023-09-09,29.0,19.7,23.6,1.1,21.7,1009.7,79.0
