date,tavg,tmin,tmax,prcp,wspd,pres
2025-05-11,28.1,23.5,33.0,0.0,3.9,1008.8
2025-05-12,27.3,22.3,32.2,0.0,2.7,1007.6
2025-05-13,27.7,23.1,32.3,0.0,4.0,1007.9
2025-05-14,28.7,24.0,34.2,0.0,3.5,1008.7
2025-05-15,28.8,23.0,33.8,0.0,2.0,1008.2
2025-05-16,28.1,23.0,33.1,30.6,3.3,1007.9
2025-05-17,28.6,23.2,32.6,0.0,3.6,1006.8
2025-05-18,28.9,24.1,32.8,0.0,2.5,1008.0
2025-05-19,28.7,23.0,33.8,0.0,4.0,1007.2
2025-05-20,27.7,23.1,33.0,0.0,2.0,1008.9
2025-05-21,28.4,23.6,33.5,0.0,4.3,1008.9
2025-05-22,28.3,23.7,32.7,0.0,2.5,1009.6
2025-05-23,28.4,23.2,34.2,2.6,5.0,1007.8
2025-05-24,28.3,24.1,33.2,0.0,3.0,1010.4
2025-05-25,28.6,23.6,33.3,0.0,3.6,1008.9
2025-05-26,28.4,23.4,34.6,0.0,3.0,1007.9
2025-05-27,28.2,23.4,33.0,0.0,5.2,1006.9
2025-05-28,27.9,22.5,33.1,0.0,3.9,1008.4
2025-05-29,28.0,22.2,33.0,0.0,2.0,1007.2
2025-05-30,27.7,23.1,33.3,0.0,3.5,1006.9
2025-05-31,28.4,23.4,33.9,0.0,2.7,1008.9
2025-06-01,24.3,21.1,26.7,0.0,2.0,1007.4
2025-06-02,25.0,22.4,28.0,0.0,5.2,1006.6
2025-06-03,23.4,20.0,25.8,4.1,4.9,1009.1
2025-06-04,23.9,20.7,26.7,0.0,4.2,1008.8
2025-06-05,23.8,20.3,26.9,0.0,3.8,1010.1
2025-06-06,23.0,20.2,25.6,0.0,4.9,1007.2
2025-06-07,23.4,20.3,26.7,0.0,5.7,1008.2
2025-06-08,23.4,20.9,25.9,0.0,5.6,1007.8
2025-06-09,22.8,19.8,26.1,1.6,5.7,1008.9
2025-06-10,23.4,20.7,25.9,0.0,4.2,1009.1
2025-06-11,24.0,20.2,26.5,0.0,5.0,1008.2
2025-06-12,24.3,21.7,26.1,10.2,6.5,1009.8
2025-06-13,23.5,20.0,25.6,0.0,3.9,1007.9
2025-06-14,23.0,19.9,25.7,0.0,4.5,1007.3
2025-06-15,24.4,21.7,27.0,0.0,5.2,1008.1
2025-06-16,23.5,20.6,25.9,3.2,5.4,1009.2
2025-06-17,23.7,21.3,26.2,0.2,4.6,1007.6
2025-06-18,23.7,21.1,26.4,0.0,5.4,1009.1
2025-06-19,24.8,21.4,27.6,2.6,5.5,1008.1
2025-06-20,24.2,21.1,27.2,0.0,4.5,1009.3
2025-06-21,24.9,21.7,28.2,0.6,4.7,1009.1
2025-06-22,23.8,21.7,26.6,12.6,5.8,1008.4
2025-06-23,23.5,20.6,26.8,0.0,5.5,1007.3
2025-06-24,23.0,20.2,26.0,0.0,4.2,1007.4
2025-06-25,24.1,20.6,26.6,10.1,3.1,1008.6
2025-06-26,22.7,19.7,25.7,8.4,5.5,1008.8
